id	age	hours-per-week
1	39	40
2	50	13
3	38	40
4	53	40
5	28	40
6	37	40
7	49	16
8	52	45
9	31	50
10	42	40
11	37	80
12	30	40
13	23	30
14	32	50
15	40	40
16	34	45
17	25	35
18	32	40
19	38	50
20	43	45
21	40	60
22	54	20
23	35	40
24	43	40
25	59	40
26	56	40
27	19	40
28	54	60
29	39	80
30	49	40
31	23	52
32	20	44
33	45	40
34	30	40
35	22	15
36	48	40
37	21	40
38	19	25
39	31	38
40	48	40
41	31	43
42	53	40
43	24	50
44	49	40
45	25	35
46	57	40
47	53	38
48	44	40
49	41	40
50	29	43
51	25	40
52	18	30
53	47	60
54	50	55
55	47	60
56	43	40
57	46	40
58	35	40
59	41	48
60	30	40
61	30	40
62	32	40
63	48	40
64	42	45
65	29	58
66	36	40
67	28	40
68	53	40
69	49	50
70	25	40
71	19	32
72	31	40
73	29	70
74	23	40
75	79	20
76	27	40
77	40	40
78	67	2
79	18	22
80	31	40
81	18	30
82	52	40
83	46	40
84	59	48
85	44	40
86	53	35
87	49	40
88	33	50
89	30	40
90	43	50
91	57	40
92	37	40
93	28	25
94	30	35
95	34	40
96	29	50
97	48	60
98	37	48
99	48	40
100	32	40
101	76	40
102	44	60
103	47	50
104	20	40
105	29	40
106	32	40
107	17	32
108	30	40
109	31	40
110	42	40
111	24	40
112	38	40
113	56	50
114	28	25
115	36	40
116	53	50
117	56	50
118	49	40
119	55	56
120	22	41
121	21	40
122	40	60
123	30	40
124	29	50
125	19	35
126	47	40
127	20	28
128	31	40
129	35	40
130	39	40
131	28	60
132	24	40
133	38	35
134	37	50
135	46	36
136	38	40
137	43	60
138	27	35
139	20	20
140	49	40
141	61	40
142	27	40
143	19	30
144	45	40
145	70	40
146	31	30
147	22	24
148	36	24
149	64	40
150	43	40
151	47	38
152	34	40
153	33	40
154	21	35
155	52	45
156	48	46
157	23	40
158	71	2
159	29	60
160	42	50
161	68	20
162	25	40
163	44	40
164	28	40
165	45	40
166	36	40
167	39	42
168	46	40
169	18	16
170	66	20
171	27	40
172	28	40
173	51	40
174	27	50
175	28	40
176	27	25
177	21	40
178	34	40
179	18	12
180	33	65
181	44	38
182	43	40
183	30	45
184	40	40
185	37	42
186	34	40
187	41	40
188	53	50
189	31	50
190	58	1
191	38	28
192	24	40
193	41	40
194	47	45
195	41	24
196	23	40
197	36	40
198	40	55
199	35	40
200	24	40
201	26	40
202	19	40
203	51	50
204	42	40
205	37	35
206	18	40
